Note,titre,texte_positif,texte_negatif,full_review,cleanliness_label,comfort_label,location_label,proprete,comfort,location
8,Super emplacement.,L’accueil : les personnes sont très gentilles,Les prix augmentent un peu J ai l impression.,Super emplacement. . L’accueil : les personnes sont très gentilles . Les prix augmentent un peu J ai l impression.,not_mentioned,positive,positive,0,1,1
8,Très bien,Oui,Le matelas trop mou en cours de changement,Très bien . Oui . Le matelas trop mou en cours de changement,not_mentioned,negative,not_mentioned,0,-1,0
8,globalement satisfaisant,Proximité avec l'hyper centre parisien,"salle de bain un peu vétuste, nécessiterait un rafraichissement_x000D_
manque de prise électrique dans la chambre (1 seule !!)","globalement satisfaisant . Proximité avec l'hyper centre parisien . salle de bain un peu vétuste, nécessiterait un rafraichissement_x000D_
manque de prise électrique dans la chambre (1 seule !!)",not_mentioned,negative,positive,0,-1,1
8,Cool on reviendra,Quartier sympa,Étroitesse de l ascenseur,Cool on reviendra . Quartier sympa . Étroitesse de l ascenseur,not_mentioned,negative,positive,0,-1,1
9,"Très bon séjour, personnel hyper accueillant ☺️","Le petit déjeuner était fabuleux, dans le bâtiment d'à côté avec un personnel au top 👍🏻",Rien,"Très bon séjour, personnel hyper accueillant ☺️ . Le petit déjeuner était fabuleux, dans le bâtiment d'à côté avec un personnel au top 👍🏻 . Rien",not_mentioned,positive,not_mentioned,0,1,0
8,Bien placé dans une ville bruyante (Paris),"Situé à 2 pas du parking que j'avais réservé de 11 heure à 14h le lendemain c'est bien pratique._x000D_
Et le plus c'est le petit déj inclus dans le Coffee Shop juste à côté 👍",Pas de télé et impossible de régler donc pas d'informations télévisuelle possible.,"Bien placé dans une ville bruyante (Paris) . Situé à 2 pas du parking que j'avais réservé de 11 heure à 14h le lendemain c'est bien pratique._x000D_
Et le plus c'est le petit déj inclus dans le Coffee Shop juste à côté 👍 . Pas de télé et impossible de régler donc pas d'informations télévisuelle possible.",not_mentioned,negative,positive,0,-1,1
8,Bon emplacement pour visiter Paris,"Proche de la rue de Rivoli, du Louvre etc_x000D_
Nous avons pu laisser notre sac, comme il n'était pas encore l'heure de récupérer notre chambre_x000D_
Bon petit déjeuner",Rien,"Bon emplacement pour visiter Paris . Proche de la rue de Rivoli, du Louvre etc_x000D_
Nous avons pu laisser notre sac, comme il n'était pas encore l'heure de récupérer notre chambre_x000D_
Bon petit déjeuner . Rien",not_mentioned,positive,positive,0,1,1
9,"Très bien, je recommande!",Très bien situé au coeur de Paris avec station de métro en bas de l'hôtel et beaucoup de choses accessibles à pied. Lits confortables. Petit déjeuner très correct pour le prix. Je recommande et reviendrai sans problème.,"Salle de bain un peu exigüe. Pas de clim, mais ventilateur disponible","Très bien, je recommande! . Très bien situé au coeur de Paris avec station de métro en bas de l'hôtel et beaucoup de choses accessibles à pied. Lits confortables. Petit déjeuner très correct pour le prix. Je recommande et reviendrai sans problème. . Salle de bain un peu exigüe. Pas de clim, mais ventilateur disponible",positive,positive,positive,1,1,1
8,"Nous avons passez un agréable séjour, il y a qq 1 24/24 .","Il se situe à proximité de tous les monuments du vieux paris et du metro_x000D_
Personnel bienveillant",Les communs sont vieux mais propre,"Nous avons passez un agréable séjour, il y a qq 1 24/24 . . Il se situe à proximité de tous les monuments du vieux paris et du metro_x000D_
Personnel bienveillant . Les communs sont vieux mais propre",positive,not_mentioned,positive,1,0,1
9,Fabuleux,"Très bon emplacement, bon accueil et chambre agréable",ras,"Fabuleux . Très bon emplacement, bon accueil et chambre agréable . ras",positive,positive,positive,1,1,1
7,l’emplacement compense certaines choses,L’emplacement idéal et un Franprix disposant de service restauration rapide juste à côté de l’hôtel,"Le petit déjeuner sous traité a un établissement à côté de l’hôtel, petit déjeuner de qualité très moyenne","l’emplacement compense certaines choses . L’emplacement idéal et un Franprix disposant de service restauration rapide juste à côté de l’hôtel . Le petit déjeuner sous traité a un établissement à côté de l’hôtel, petit déjeuner de qualité très moyenne",not_mentioned,positive,positive,0,1,1
8,L’emplacement de l’hôtel est vraiment le point fort ! De plus à 20 m d’une station de métro avec de nombreuses possibili,Son emplacement !!! Excellent,Établissement ancien donc un peu vieillot,L’emplacement de l’hôtel est vraiment le point fort ! De plus à 20 m d’une station de métro avec de nombreuses possibili . Son emplacement !!! Excellent . Établissement ancien donc un peu vieillot,not_mentioned,positive,positive,0,1,1
